Título;Descrição IMDB;Gênero;Nota;Descrição
A Marca do Medo;Um professor universitário e uma equipe de alunos conduzem um experimento com uma jovem e descobrem forças terrivelmente sombrias e inesperadas no processo.;Terror,Mistério,Suspense;5.1;um professor universitário e um equipe de aluno conduzir um experimento com um jovem e descobrir força terrivelmente sombrio e inesperar em o processo.
La salamandre;Dois homens, embora um pouco paralisados, são atraídos para o espirituoso e quixótico Rosemonde, uma jovem mulher da classe trabalhadora que eles encontram porque estão escrevendo um teleplay sobre um evento menor, mas curioso, no qual seu tio foi ferido enquanto limpava seu rifleOu ela atirou nele.Pierre é um jornalista livre contratado para escrever o roteiro, ele está com pouco tempo, então ele pergunta a ...;Comédia,Drama;7.3;dois homem, embora um pouco paralisar, ser atrair para o espirituoso e quixótico Rosemonde, um jovem mulher de o classe trabalhador que eles encontrar porque estar escrever um teleplay sobre um evento pequeno, mas curioso, em o qual seu tio ser ferir enquanto limpar seu rifler ela atirar em ele. Pierre ser um jornalista livre contratar para escrever o roteiro, ele estar com pouco tempo, então ele perguntar ela...
Em Segredo;Uma mulher e sua filha lutam para superar as consequências da Guerra da Bósnia.;Drama;7.2;um mulher e seu filha lutar para superar o consequência de o Guerra de o Bósnia.
Hannibál tanár úr;Quando um professor de latim publica um ensaio sobre o general cartais Hannibal, ele é rapidamente aclamado como um gênio da celebridade, mas na realidade se tornou um peão involuntário de políticos de extrema direita.;Comédia,Drama;7.6;quando um professor de latim publicar um ensaio sobre o general cartal Hannibal, ele ser rapidamente aclamar como um gênio de o celebridade, mas em o realidade se tornar um peão involuntário de político de extremo direita.
O Homem Que Incomoda;Em uma cidade estranha, onde todas as pessoas parecem contentes além da razão que um novo homem chega à cidade e provoca problemas ao fazer muitas perguntas.;Comédia,Drama,Fantasia;7.2;em um cidade estranho, onde todo o pessoa parecer contente além de o razão que um novo homem chegar a o cidade e provocar problema a o fazer muito pergunta.
Amizade Desfeita;Um grupo de amigos de uma sala de bate-papo online é assombrado por uma força sobrenatural misteriosa usando a conta do seu amigo morto.;Terror,Mistério,Suspense;5.6;um grupo de amigo de um sala de bate-papo online ser assombrar por um força sobrenatural misterioso usar o conta de o seu amigo morrer.
Amaldiçoado;Ig Perrish é acusado de matar e violar a própria namorada e sofre com a perda e o intenso julgamento social. Até ao dia em que acorda com um par de cornos que ninguém vê, mas que forçam qualquer pessoa a revelar o seu lado mais diabólico.;Comédia,Policial,Drama;6.4;Ig Perrish ser acusar de matar e violar o próprio namorada e sofrer com o perda e o intenso julgamento social. até a o dia em que acordar com um par de corno que ninguém ver, mas que forçar qualquer pessoa a revelar o seu lado mais diabólico.
O Reverso da Fortuna;A milionária Sunny von Bülow tem morte cerebral, e seu marido Claus é culpado de tentativa de assassinato, mas ele diz que ele é inocente e contrata Alan Dershowitz para apelar as acusações.;Biografia,Drama,Mistério;7.2;o milionária Sunny von Bülow ter morte cerebral, e seu marido Claus ser culpar de tentativa de assassinato, mas ele dizer que ele ser inocente e contratar Alan Dershowitz para apelar o acusação.
Ser ou Não Ser;Durante a ocupação nazista da Polônia, uma trupe de atuação se envolve nos esforços de um soldado polonês para rastrear um espião alemão.;Comédia,Romance,Guerra;8.2;durante o ocupação nazista de o Polônia, um trupe de atuação se envolver em o esforço de um soldado polonês para rastrear um espião alemão.
Tangerina;Uma prostituta corre pela Tinseltown na véspera de Natal procurando o proxeneta que lhe partiu o coração.;Comédia,Policial,Drama;7.1;um prostituta correr por o Tinseltown em o véspera de Natal procurar o proxeneta que ele partir o coração.
Meu Tio;Monsieur Hulot visita o mundo tecnológico de sua cunhada, cunhado e sobrinho, mas não pode encaixar em ele.;Comédia;7.7;Monsieur Hulot visitar o mundo tecnológico de seu cunhada, cunhar e sobrinho, mas não poder encaixar em ele.
Meu Nome é Coogan;O subxerife Coogan do Arizona (Clint Eastwood) é enviado à cidade de Nova York para escoltar um fugitivo de volta para julgamento.;Ação,Comédia,Policial;6.4;o subxerife Coogan de o Arizona ( Clint Eastwood ) ser enviar a o cidade de Nova York para escoltar um fugitivo de volta para julgamento.
ParaNorman;Uma criança mal compreendida enfrenta fantasmas, zumbis e adultos para salvar sua cidade de uma maldição centenária.;Animação,Aventura,Comédia;7.0;um criança mal compreender enfrentar fantasma, zumbi e adulto para salvar seu cidade de um maldição centenário.
Mergulho Radical;Um grupo de mergulhadores se vê em sérios problemas com um traficante de drogas depois de se deparar com a carga ilícita de um avião afundado.;Ação,Aventura,Policial;5.9;um grupo de mergulhador se ver em sério problema com um traficante de droga depois de se deparar com o carga ilícito de um avião afundar.
O Caçador de Troll;Um grupo de estudantes investiga uma série de misteriosas mortes de ursos, porém descobrem que há coisas muito mais perigosas acontecendo. Eles começam a seguir um caçador misterioso, descobrindo que ele é um caçador de tróis.;Drama,Fantasia,Terror;6.9;um grupo de estudante investigar um série de misterioso morte de urso, porém descobrir que haver coisa muito mais perigoso acontecer. eles começar a seguir um caçador misterioso, descobrir que ele ser um caçador de tról.
O Professor Aloprado;O professor Sherman Klump, um homem muito acima do peso, mas de bom coração, toma uma substância química especial que o transforma em magro, mas detestável.;Comédia,Romance,Ficção científica;5.7;o professor Sherman Klump, um homem muito acima de o peso, mas de bom coração, tomar um substância química especial que o transformar em magro, mas detestável.
Main Hoon Na;Um major do exército se disfarça de estudante universitário.Sua missão é profissional e pessoal: proteger a filha de seu general de um militante radical e encontrar seu meio-irmão afastado.;Ação,Comédia,Drama;7.0;um major de o exército se disfarçar de estudante universitário. seu missão ser profissional e pessoal : proteger o filha de seu general de um militante radical e encontrar seu meio-irmão afastar.
Uma Canta, a Outra Não;A vida de Pomme, uma aspirante a cantora, e Suzanne, uma mãe em dificuldades, enquanto procuram sua própria identidade na França da década de 1970.;Drama,História;7.3;o vida de Pomme, um aspirante o cantora, e Suzanne, um mãe em dificuldade, enquanto procurar seu próprio identidade em o França de o década de 1970.
Heidi;A história de uma menina que vive nos Alpes suíços com seu avô, um pastor de cabras.;Drama,Família;7.4;o história de um menina que viver em o Alpes suíço com seu avô, um pastor de cabra.
Guerra dos Monstros;Na cidade de Dillford, humanos, vampiros e zumbis viviam em paz, até chegar o apocalipse alienígena. Agora, três adolescentes, um humano, um vampiro e um zumbi, devem formar uma equipe para descobrir como se livrar dos visitantes.;Comédia,Terror,Ficção científica;5.9;em o cidade de Dillford, humano, vampiro e zumbi viver em paz, até chegar o apocalipse alienígeno. agora, três adolescente, um humano, um vampiro e um zumbi, dever formar um equipe para descobrir como se livrar de o visitante.
Quebrando Regras;Um adolescente frustrado e em conflito chega a uma nova escola, descobre um clube da luta e conhece um colega que começa a coagi-lo para lutar.;Ação,Drama,Esportes;6.5;um adolescente frustrar e em conflito chegar a um novo escola, descobrir um clube de o luta e conhecer um colega que começar a coager ele para lutar.
Quem Vai Pagar o Pato?;Por acaso 3 funcionários roubam seu banco no mesmo fim de semana.;Comédia,Policial;5.9;por acaso 3 funcionário roubar seu banco em o mesmo fim de semana.
Joe Sujo;Depois de ser abandonado por seus pais no Grand Canyon, Joe Dirt conta a história de sua jornada para encontrar seus pais.;Aventura,Comédia,Drama;5.9;depois de ser abandonar por seu pai em o Grand Canyon, Joe Dirt contar o história de seu jornada para encontrar seu pai.
Território Restrito;Relata a travessia de estrangeiros ilegais de muitas nacionalidades na área de Los Angeles, e as autoridades que lidam com eles.;Policial,Drama;6.7;relatar o travessia de estrangeiro ilegal de muito nacionalidade em o área de Los Angeles, e o autoridade que lidar com eles.
Delovye lyudi;Dois bandidos aprendem que sequestrar é um negócio muito lucrativo.Então eles decidem sequestrar o filho da pessoa rica local na esperança de obter um resgate substancial.;Comédia,Drama,Faroeste;7.6;dois bandido aprender que sequestrar ser um negócio muito lucrativo. então eles decidir sequestrar o filho de o pessoa rico local em o esperança de obter um resgate substancial.
A Idade da Terra;Quatro cristos do terceiro mundo tentam impedir o industrial americano John Brahms no filme experimental de Glauber Rocha, inspirado no assassinato de Piolo Paolo Pasolini.;Drama,Fantasia,História;6.6;quatro cristo de o terceiro mundo tentar impedir o industrial americano John Brahms em o filme experimental de Glauber Rocha, inspirar em o assassinato de Piolo Paolo Pasolini.
Eu, Daniel Blake;Depois de ter sofrido um infarto, um carpinteiro de 59 anos precisa enfrentar as forças burocráticas do sistema para receber ajuda.;Drama;7.8;depois de ter sofrer um infarto, um carpinteiro de 59 ano precisar enfrentar o força burocrático de o sistema para receber ajuda.
A Grande Cidade;A vida em casa muda quando uma esposa da casa de uma família conservadora de classe média em Calcutá consegue um emprego como vendedora.;Drama;8.2;o vida em casa mudar quando um esposo de o casa de um família conservador de classe médio em Calcutá conseguir um emprego como vendedor.
Aurora;Um conto alegórico sobre um homem que luta contra o bem e o mal dentro de si mesmo. Ambos os lados se tornam carne: uma é uma mulher sofisticada que o atrai e a outra sua esposa.;Drama,Romance;8.1;um conto alegórico sobre um homem que lutar contra o bem e o mal dentro de si mesmo. ambos o lado se tornar carne : um ser um mulher sofisticado que o atrair e a outro seu esposo.
O Mundo de Andy;A vida e a carreira do lendário comediante Andy Kaufman.;Biografia,Comédia,Drama;7.4;o vida e o carreira de o lendário comediante Andy Kaufman.
Pisando na Bola;Uma professora em troca da Inglaterra é colocada em uma escola de atendimento ao Texas, onde treina os alunos no futebol, melhorando sua auto-estima e levando a um sucesso inesperado.;Comédia,Família,Esportes;5.5;um professora em troca de o Inglaterra ser colocar em um escola de atendimento a o Texas, onde treinar o aluno em o futebol, melhorar seu auto-estima e levar a um sucesso inesperado.
H-8...;Um ônibus e um caminhão estão destinados a colidir entre si em uma estrada.Seus passageiros continuam sobre suas vidas sem saber o que vai acontecer.;Drama,Suspense;8.4;um ônibus e um caminhão estar destinar a colidir entre si em um estrada. seu passageiro continuar sobre seu vida sem saber o que ir acontecer.
A Flauta Mágica;A história do príncipe Tamino e seu ziest sidekick Papageno, que são enviados em uma missão para salvar uma bela princesa das garras do mal.;Comédia,Fantasia,Musical;7.5;o história de o príncipe Tamino e seu ziest sidekick Papageno, que ser enviar em um missão para salvar um belo princesa de o garra de o mal.
O Padre e a Moça;Em uma cidade de Minas Gerais, a chegada de um jovem padre causa uma agitação no ambiente conservador do lugar, agravada pela atração que este padre sente por uma moça. Esta história de amor proibido se transforma em paixão desenfreada.;Drama;7.3;em um cidade de Minas Gerais, o chegada de um jovem padre causar um agitação em o ambiente conservador de o lugar, agravar por o atração que este padre sentir por um moça. este história de amor proibir se transformar em paixão desenfrear.
Nunca Morra Sozinho;O retorno de um chefão de drogas toca em casa uma guerra de território.;Ação,Policial,Drama;5.6;o retorno de um chefão de droga tocar em casa um guerra de território.
Garota Mimada;Uma princesa rebelde de Malibu é enviada por seu pai a um rigoroso internato na Inglaterra.;Comédia,Drama,Romance;6.0;um princesa rebelde de Malibu ser enviar por seu pai a um rigoroso internato em o Inglaterra.
O Anjo Embriagado;Um médico bêbado com um temperamento quente e um bandido propenso à violência com tuberculose formam um vínculo instigante.;Policial,Drama,Romance;7.7;um médico bêbado com um temperamento quente e um bandido propenso a o violência com tuberculose formar um vínculo instigante.
Ray;A história da vida e carreira do lendário músico de blues Ray Charles, desde seu humilde início no Sul, onde ficou cego aos sete anos, até sua ascensão meteórica ao estrelato durante as décadas de 1950 e 1960.;Biografia,Drama,Musical;7.7;o história de o vida e carreira de o lendário músico de blues Ray Charles, desde seu humilde início em o Sul, onde ficar cego a o sete ano, até seu ascensão meteórico a o estrelato durante o década de 1950 e 1960.
Podkidysh;A velha veio tomar um drinque de água.Então os proprietários de apartamentos olharam em volta - sem piano.E muitas outras aventuras de Natasha e seus amigos.;Comédia,Drama;7.6;o velho vir tomar um drinque de água. então o proprietário de apartamento olhar em volta - sem piano. e muito outro aventura de Natasha e seu amigo.
Caça aos Gângsteres;É 1949 em Los Angeles, a cidade é dirigida por bandidos e um mafioso malicioso, o Mickey Cohen. Determinado a acabar com a corrupção, John O'Mara monta uma equipe de policiais, para acabar com o líder implacável e restaurar a paz na cidade.;Ação,Policial,Drama;6.7;é 1949 em Los Angeles, o cidade ser dirigir por bandido e um mafioso malicioso, o Mickey Cohen. determinar a acabar com o corrupção, John O'Mara montar um equipe de policial, para acabar com o líder implacável e restaurar o paz em o cidade.
Meu Primeiro Amor;Uma jovem, na adolescência, vê sua vida virada de cabeça para baixo quando um estranho amigo a acompanha.;Comédia,Drama,Família;6.9;um jovem, em o adolescência, ver seu vida virar de cabeça para baixo quando um estranho amigo ela acompanhar.
Roma às 11 Horas;Com base em um incidente real, esta é a história de cinco garotas (contadas com um começo lento) que estão entre as 200 mulheres que respondem a um anúncio de uma modesta posição de secretariado em uma manhã chuvosa em Roma em 1951. Eles se aglomeram e se esforçam para o seu caminhono antigo prédio e lute contra as escadas para aguardar uma entrevista, apenas para saber que não há tempo suficiente para entrevistar um ...;Drama;7.8;com base em um incidente real, este ser o história de cinco garota ( contar com um começo lento ) que estar entre o 200 mulher que responder a um anúncio de um modesto posição de secretariado em um manhã chuvoso em Roma em 1951. eles se aglomerar e se esforçar para o seu caminhono antigo prédio e lutar contra o escada para aguardar um entrevista, apenas para saber que não haver tempo suficiente para entrevistar um...
Dança com Lobos;O tenente John Dunbar, designado para um posto remoto da Guerra Civil, faz amizade com lobos e índios, se tornando intolerável nas forças armadas.;Aventura,Drama,Faroeste;8.0;o tenente John Dunbar, designar para um posto remoto de o Guerra Civil, fazer amizade com lobo e índio, se tornar intolerável em o força armar.
Kabhi Alvida Naa Kehna;Dev, um ex -jogador de futebol é casado com Rhea, um editor de moda de sucesso.Maya é uma professora de jardim de infância que é casada com Rishi, um planejador de eventos de saída.A vida desses casais se cruzam e cada um questiona seu próprio casamento.;Drama,Romance;6.0;Dev, um ex -jogador de futebol ser casado com Rhea, um editor de moda de sucesso. Maya ser um professora de jardim de infância que ser casado com Rishi, um planejador de evento de saída. o vida de esse casal se cruzar e cada um questionar seu próprio casamento.
Para Sempre Alice;Uma professora de linguística e sua família têm seus laços testados quando ela é diagnosticada com a doença de Alzheimer.;Drama;7.5;um professora de linguística e seu família ter seu laço testar quando ela ser diagnosticar com o doença de Alzheimer.
O Nome do Jogo;Um mafioso viaja para Hollywood para cobrar uma dívida e descobre que o negócio do cinema é muito semelhante ao seu trabalho atual.;Comédia,Policial,Suspense;6.9;um mafioso viajar para Hollywood para cobrar um dívida e descobrir que o negócio de o cinema ser muito semelhante a o seu trabalho atual.
Dance of the Dead;Na noite do grande baile do ensino médio, os mortos se elevam para comer os vivos, e as únicas pessoas que podem impedi-las são os perdedores que não conseguiram datas para dançar.;Ação,Comédia,Terror;5.8;em o noite de o grande baile de o ensino médio, o morto se elever para comer o vivo, e o único pessoa que poder impedir elas ser o perdedor que não conseguir data para dançar.
Manderlay;Uma história de escravidão, ambientada no sul dos Estados Unidos na década de 1930.;Drama;7.2;um história de escravidão, ambientar em o sul de o Estados Unidos em o década de 1930.
Bolt: Supercão;A estrela canina de um programa de ação e ficção científica que acredita que seus poderes são reais embarca numa viagem pelo país para salvar sua companheira de uma ameaça que ele acredita ser igualmente real.;Animação,Aventura,Comédia;6.8;o estrela canino de um programa de ação e ficção científico que acreditar que seu poder ser real embarcar em um viagem por o país para salvar seu companheira de um ameaça que ele acreditar ser igualmente real.
Arrambam;Um homem misterioso, juntamente com um jovem hacker de computador, tenta revelar uma grande conspiração do governo que resultou em várias mortes sangrentas.;Ação,Drama,Mistério;7.0;um homem misterioso, juntamente com um jovem hacker de computador, tentar revelar um grande conspiração de o governo que resultar em várias morte sangrento.
Black Dynamite;Black Dynamite é a maior estrela de ação afro-americana dos anos 70. Quando seu único irmão é morto pelo O Cara, cabe a ele encontrar justiça.;Ação,Comédia;7.3;Black Dynamite ser o grande estrela de ação afro-americana de o ano 70. quando seu único irmão ser morrer por o O Cara, caber a ele encontrar justiça.
Rota de Fuga;Quando um especialista em segurança é encarcerado na prisão mais secreta e segura do mundo, ele precisa usar suas habilidades para escapar com a ajuda de dentro.;Ação,Suspense;6.7;quando um especialista em segurança ser encarcerar em o prisão mais secreto e seguro de o mundo, ele precisar usar seu habilidade para escapar com o ajuda de dentro.
Comando Imbatível;Uma equipe do selo endurecida por batalha partiu em uma missão para destruir uma remessa de mísseis de Stinger, criados nos EUA, que caíram em mãos terroristas.;Ação,Aventura,Suspense;5.5;um equipe de o selo endurecer por batalha partir em um missão para destruir um remessa de míssil de Stinger, criar em o EUA, que cair em mão terrorista.
Felon;Um homem de família condenado por matar um intruso deve enfrentar a vida no sistema penal.;Policial,Suspense;7.4;um homem de família condenar por matar um intruso dever enfrentar o vida em o sistema penal.
Loucos de Dar Nó;Configurado e acusado injustamente, dois melhores amigos serão enviados para um crime que não cometeram.No entanto, nenhuma cela de prisão poderia mantê -los trancados.;Comédia,Policial;6.7;configurar e acusar injustamente, dois bom amigo ser enviar para um crime que não cometer. em o entanto, nenhum cela de prisão poder manter eles trancar.
Bachna Ae Haseeno;Raj é um desgosto.Suas histórias de amor com Mahi, Radhika e Gayatri finalmente o ensinam sobre amor e vida de maneira doce, sexy e atrevida.;Comédia,Drama,Romance;6.1;Raj ser um desgosto. seu história de amor com Mahi, Radhika e Gayatri finalmente o ensinar sobre amor e vida de maneira doce, sexy e atrever.
Nota de Rodapé;Eliezer e Uriel Shkolnik são pai e filho, além de professores rivais em estudos talmúdicos.Quando os dois homens aprendem que Eliezer será elogiado por seu trabalho, seu relacionamento complicado atinge um novo pico.;Comédia,Drama;7.1;Eliezer e Uriel Shkolnik ser pai e filho, além de professor rival em estudo talmúdico. quando o dois homem aprender que Eliezer ser elogiar por seu trabalho, seu relacionamento complicado atingir um novo pico.
A Delicadeza do Amor;Uma francesa de luto pela morte de seu marido, há três anos, é cortejada por um colega de trabalho sueco.;Comédia,Drama,Romance;6.6;um francesa de luto por o morte de seu marido, haver três ano, ser cortejar por um colega de trabalho sueco.
Crossover;A vida de um atleta talentoso e seu melhor amigo mudam quando fazem uma viagem fatídica a Los Angeles.Os jovens esperançosos devem usar todas as habilidades sob seu comando para derrubar os atuais campeões de bola de rua de seus tronos.;Ação,Esportes;2.1;o vida de um atleta talentoso e seu bom amigo mudar quando fazer um viagem fatídico a Los Angeles. o jovem esperançoso dever usar todo o habilidade sob seu comando para derrubar o atual campeão de bola de rua de seu trono.
A Vida é Doce;Uma assistente de loja, seu marido cozinheiro e suas filhas gêmeas ponderam suas vidas por algumas semanas em um subúrbio da classe trabalhadora ao norte de Londres.;Comédia,Drama;7.4;um assistente de loja, seu marido cozinheiro e seu filha gêmeo ponderar seu vida por algum semana em um subúrbio de o classe trabalhador a o norte de Londres.
Good Dick;Um olhar sobre a relação entre uma garota solitária e introvertida, e um jovem funcionário de uma loja de vídeo competindo por sua atenção.;Comédia,Drama,Romance;6.3;um olhar sobre o relação entre um garota solitário e introvertido, e um jovem funcionário de um loja de vídeo competir por seu atenção.
Lanternas Vermelhas;Uma jovem mulher se torna a quarta esposa de um cavalheiro rico e deve aprender a viver com as regras estritas e tensões dentro do lar.;Drama,História,Romance;8.1;um jovem mulher se tornar o quarto esposo de um cavalheiro rico e dever aprender a viver com o regra estrito e tensão dentro de o lar.
Memórias de uma Gueixa;Nitta Sayuri revela como ela creceu nas aldeias de pescadores e se tornou uma das gueixas mais famosas do Japão.;Drama,Romance;7.3;Nitta Sayuri revelar como ela creceuir em o aldeia de pescador e se tornar um de o gueixa mais famoso de o Japão.
Suwarôteiru;As lutas de um grupo de párias imigrantes que vivem em uma metrópole japonesa xenófoba alternativa.;Policial,Drama;7.5;o luta de um grupo de pária imigrante que viver em um metrópole japonês xenófobo alternativa.
Império do Crime;Um tenente da polícia é ordenado a parar de investigar o chefe do crime mortal, Sr. Brown, porque ele não conseguiu nenhuma evidência concreta contra ele.Ele vai atrás da namorada de Brown, que o despreza, por informações.;Policial,Drama,Filme noir;7.3;um tenente de o polícia ser ordenado a parar de investigar o chefe de o crime mortal, sr. Brown, porque ele não conseguir nenhum evidência concreto contra ele. ele ir atrás de o namorada de Brown, que o desprezar, por informação.
O Turista;Frank vai a Itália de férias após uma desilusão amorosa. Na viagem ele conhece Elise Ward, uma misteriosa e sedutora mulher com quem acaba por se envolver, arrastando-o para um jogo perigoso e mortal com a polícia e grupos de criminosos.;Ação,Suspense;6.0;Frank ir o Itália de férias após um desilusão amoroso. em o viagem ele conhecer Elise Ward, um misterioso e sedutora mulher com quem acabar por se envolver, arrastar o para um jogo perigoso e mortal com o polícia e grupo de criminoso.
A Marca;Jessica, cujo pai matou sua mãe e cometeu suicídio, é uma policial. Enquanto investiga um assassinato, ela se encontra no centro de sua própria investigação, quando seus ex-amantes começam a ser assassinados.;Policial,Drama,Mistério;5.3;Jessica, cujo pai matar seu mãe e cometer suicídio, ser um policial. enquanto investigar um assassinato, ela se encontrar em o centro de seu próprio investigação, quando seu ex-amante começar a ser assassinar.
THX 1138;No século vinte e cinco, uma época em que as pessoas têm designações em vez de nomes, um homem e uma mulher se rebelam contra sua sociedade rigidamente controlada.;Drama,Ficção científica,Suspense;6.7;em o século vinte e cinco, um época em que o pessoa ter designação em vez de nome, um homem e um mulher se rebelar contra seu sociedade rigidamente controlar.
O Processo;Um modesto trabalhador de escritório é preso e julgado, mas nunca é informado de suas acusações.;Drama,Mistério,Suspense;7.6;um modesto trabalhador de escritório ser prender e julgar, mas nunca ser informar de seu acusação.
Meu Tio da América;As histórias cruzadas de três pessoas que enfrentam escolhas difíceis em situações de mudança de vida são usadas para ilustrar as teorias defendidas por Henri Laborit sobre o comportamento humano e a relação entre o eu e a sociedade.;Comédia,Drama,Romance;7.6;o história cruzar de três pessoa que enfrentar escolha difícil em situação de mudança de vida ser usar para ilustrar o teoria defender por Henri Laborit sobre o comportamento humano e o relação entre o eu e o sociedade.
O Tempo Não Apaga;Um homem está reunido com sua amiga de infância e seu marido, que acreditam saber a verdade sobre a morte de sua rica tia anos antes.;Drama,Filme noir,Romance;7.4;um homem estar reunido com seu amiga de infância e seu marido, que acreditar saber o verdade sobre o morte de seu rico tia ano antes.
Merantau;Um jovem do campo usa suas habilidades nas artes marciais para sobreviver ao tráfico de escravos.;Ação,Drama;6.7;um jovem de o campo usar seu habilidade em o arte marcial para sobreviver a o tráfico de escravo.
Um Punhado de Bravos;Um pelotão de operações especiais tem a tarefa de pára -quedas na selva birmanesa remota e destruir uma estação de radar japonesa estratégica, mas sair para sair não é tão fácil.;Ação,Aventura,Drama;7.3;um pelotão de operação especial ter o tarefa de parar -queda em o selva birmanês remoto e destruir um estação de radar japonês estratégico, mas sair para sair não ser tão fácil.
Ou Tudo ou Nada;Seis trabalhadores siderúrgicos desempregados formam um show de striptease.;Comédia,Drama;7.2;seis trabalhador siderúrgico desempregado formar um show de striptease.
Marcação Cerrada;Um quarterback reserva é escolhido para liderar um time de futebol-americano do Texas e levá-lo à vitória depois que o quarterback titular e estrela do time se machuca.;Comédia,Drama,Romance;6.5;um quarterback reserva ser escolher para liderar um time de futebol-americano de o Texas e levar ele a o vitória depois que o quarterback titular e estrela de o time se machucar.
Cada Um na Sua Casa;Um alienígena que está fugindo de seu próprio povo faz amizade com uma garota. Ele tenta ajudá-la em sua busca, mas pode acabar interferindo.;Animação,Aventura,Comédia;6.6;um alienígena que estar fugir de seu próprio povo fazer amizade com um garota. ele tentar ajudar ela em seu busca, mas poder acabar interferir.
Tudo e Todas as Coisas;Uma adolescente que passou toda sua vida confinada à sua casa se apaixona pelo garoto do lado.;Drama,Romance;6.3;um adolescente que passar todo seu vida confinar a o seu casa se apaixonar por o garoto de o lado.
Kyss mig;Uma jovem mulher comprometida se encontra em um caso com a filha lésbica de sua futura madrasta.;Drama,Romance;6.8;um jovem mulher comprometer se encontrar em um caso com o filha lésbico de seu futuro madrasta.
Titanic;Uma aristocrata de dezessete anos se apaixona por um artista gentil mas pobre a bordo do luxuoso e desafortunado Titanic.;Drama,Romance;7.9;um aristocrata de dezessete ano se apaixonar por um artista gentil mas pobre a bordo de o luxuoso e desafortunar Titanic.
Personal Problems;Uma história parcialmente improvisada de um casamento complicado na comunidade afro-americana, as pessoas que cercam o casal principal, amigos com quem estão tendo assuntos e parentes indesejados.;Drama;7.4;um história parcialmente improvisar de um casamento complicado em o comunidade afro-americana, o pessoa que cercar o casal principal, amigo com quem estar ter assunto e parente indesejado.
Viagens Alucinantes;Um psicofisiólogo experimenta com drogas e um tanque de privação sensorial e tem visões que ele acredita serem memórias genéticas.;Terror,Ficção científica,Suspense;6.8;um psicofisiólogo experimentar com droga e um tanque de privação sensorial e ter visão que ele acreditar ser memória genético.
Escalando Dawn Wall;Em uma história incrível de perseverança, o alpinista livre Tommy Caldwell e o parceiro de escalada Kevin Jorgeson tentam escalar a 3000 pés.;Documentário,Biografia,Esportes;8.1;em um história incrível de perseverança, o alpinista livre Tommy Caldwell e o parceiro de escalada Kevin Jorgeson tentar escalar a 3000 pé.
Ra.One;Quando o antagonista titular de um jogo de ação assume a forma física, é apenas o protagonista menos poderoso do jogo que pode salvar a família de seu criador.;Ação,Aventura,Ficção científica;4.6;quando o antagonista titular de um jogo de ação assumir o forma físico, ser apenas o protagonista menos poderoso de o jogo que poder salvar o família de seu criador.
Yangguang puzhao;Uma família de quatro se fragmenta sob o peso de expectativas não atendidas, tragédia inesperada e orgulho inabalável.;Policial,Drama;7.6;um família de quatro se fragmentar sob o peso de expectativa não atender, tragédia inesperado e orgulho inabalável.
Os Encontros de Anna;Anna, uma diretora desapegada e diferenciada, chega à Alemanha para mostrar seu último filme, ela entra em um hotel, convida um estranho para a cama e diz abruptamente a ele para sair.Ele pede a ela um almoço de aniversário com sua mãe e filha, ela vai.Depois, em Colônia, ela conhece um velho amigo, um judeu polonês e refugiado de guerra.Em Bruxelas, ela passa a noite em um hotel w ...;Drama;7.4;Anna, um diretora desapegar e diferenciar, chegar a o Alemanha para mostrar seu último filme, ela entrar em um hotel, conver um estranho para o cama e dizer abruptamente a ele para sair. ele pedir a ela um almoço de aniversário com seu mãe e filha, ela ir. depois, em Colônia, ela conhecer um velho amigo, um judeu polonês e refugiar de guerra. em Bruxelas, ela passar o noite em um hotel w...
Nine;O famoso diretor de cinema Guido Contini luta para encontrar harmonia em sua vida profissional e pessoal, ao se envolver em relacionamentos dramáticos com sua esposa, amante, musa, agente e mãe.;Drama,Musical,Romance;5.8;o famoso diretor de cinema Guido Contini lutar para encontrar harmonia em seu vida profissional e pessoal, a o se envolver em relacionamento dramático com seu esposo, amante, musa, agente e mãe.
Alma em Suplício;Principal suspeita da morte do marido, Mildred Pierce conta o seu passado num depoimento policial. Do primeiro casamento ao relacionamento com as filhas e à forma como enriqueceu, revela o suplício pelo que passou.;Policial,Drama,Filme noir;8.0;Principal suspeita de o morte de o marido, Mildred Pierce contar o seu passado em um depoimento policial. de o primeiro casamento a o relacionamento com o filha e a o forma como enriquecer, revelar o suplício por o que passar.
Em um Mundo Melhor;A vida de duas famílias dinamarquesas se cruza e nasce uma extraordinária, mas arriscada amizade. Mas a solidão, a fragilidade e a dor se escondem.;Drama,Romance;7.6;o vida de dois família dinamarquês se cruzar e nascer um extraordinário, mas arriscar amizade. mas o solidão, o fragilidade e o dor se esconder.
Os Bons Companheiros;A historia do Henry Hill e sua vida na máfia, sua relação com sua esposa Karen Hill e seus colegas da máfia Jimmy Conway e Tommy DeVito no sindicato italo-americano do crime.;Biografia,Policial,Drama;8.7;o historia de o Henry Hill e seu vida em o máfia, seu relação com seu esposo Karen Hill e seu colega de o máfia Jimmy Conway e Tommy DeVito em o sindicato italo-americano de o crime.
